HGNC ID	Approved symbol	Gene group name	Mouse genome database ID
HGNC:49197	ARL2-SNX15		
HGNC:17146	ARL2BP		MGI:1349429
HGNC:17742	ARL2BPP1		
HGNC:31036	ARL2BPP2		
HGNC:39447	ARL2BPP3		
HGNC:39448	ARL2BPP4		
HGNC:39449	ARL2BPP5		
HGNC:39450	ARL2BPP6		
HGNC:39451	ARL2BPP7		
HGNC:39452	ARL2BPP8		
HGNC:39453	ARL2BPP9		
HGNC:39454	ARL2BPP10		
HGNC:694	ARL3	ARF GTPase family	MGI:1929699
HGNC:695	ARL4A	ARF GTPase family	MGI:99437
HGNC:17741	ARL4AP1		
HGNC:32379	ARL4AP2		
HGNC:52372	ARL4AP3		
HGNC:52373	ARL4AP4		
HGNC:52374	ARL4AP5		
HGNC:698	ARL4C	ARF GTPase family	MGI:2445172
HGNC:656	ARL4D	ARF GTPase family	MGI:1933155
HGNC:696	ARL5A	ARF GTPase family	MGI:1922673
HGNC:43933	ARL5AP1		
HGNC:43937	ARL5AP2		
HGNC:43935	ARL5AP3		
HGNC:43936	ARL5AP4		
HGNC:23052	ARL5B	ARF GTPase family	MGI:1923119
HGNC:31111	ARL5C	ARF GTPase family	MGI:3028577
HGNC:13210	ARL6	ARF GTPase family	MGI:1927136
HGNC:697	ARL6IP1		MGI:1858943
HGNC:23178	ARL6IP1P1		
HGNC:44971	ARL6IP1P2		
HGNC:44972	ARL6IP1P3		
HGNC:18076	ARL6IP4		MGI:1929500
HGNC:16937	ARL6IP5	YIP family	MGI:1929501
HGNC:24048	ARL6IP6		MGI:1929507
HGNC:25192	ARL8A	ARF GTPase family	MGI:1915974
HGNC:25564	ARL8B	ARF GTPase family	MGI:1914416
HGNC:23592	ARL9	ARF GTPase family	MGI:1915496
HGNC:22042	ARL10	MicroRNA protein coding host genes|ARF GTPase family	MGI:1930788
HGNC:24046	ARL11	ARF GTPase family	MGI:2444054
HGNC:31709	ARL13A	ARF GTPase family	MGI:1921698
HGNC:25419	ARL13B	ARF GTPase family	MGI:1915396
HGNC:22974	ARL14	ARF GTPase family	MGI:1918869
HGNC:26798	ARL14EP		MGI:1926020
HGNC:44201	ARL14EPL		MGI:2685795
HGNC:54676	ARL14EPP1		
HGNC:25945	ARL15	ARF GTPase family|MicroRNA protein coding host genes	MGI:2442308
HGNC:27902	ARL16	ARF GTPase family	MGI:1917567
HGNC:24096	ARL17A	ARF GTPase family	
HGNC:32387	ARL17B	ARF GTPase family	
HGNC:53032	ARLNC1	Long non-coding RNAs with non-systematic symbols	
HGNC:17684	ARMC1	Armadillo repeat containing	MGI:1921502
HGNC:23045	ARMC2	Armadillo repeat containing	MGI:1916449
HGNC:41008	ARMC2-AS1	Antisense RNAs	
HGNC:30964	ARMC3	Armadillo repeat containing	MGI:1918132
HGNC:25583	ARMC4	Armadillo repeat containing	MGI:1922184
HGNC:44937	ARMC4P1		
HGNC:25781	ARMC5	Armadillo repeat containing	MGI:2384586
HGNC:25049	ARMC6	Armadillo repeat containing	MGI:1924063
HGNC:26168	ARMC7	Armadillo repeat containing	MGI:2679719
HGNC:24999	ARMC8	CTLH complex|Armadillo repeat containing	MGI:1921375
HGNC:49918	ARMC8P1		
HGNC:20730	ARMC9	MicroRNA protein coding host genes|Armadillo repeat containing	MGI:1926045
HGNC:21706	ARMC10	Armadillo repeat containing	MGI:1914461
HGNC:43646	ARMC10P1		
HGNC:21099	ARMC12	Armadillo repeat containing	MGI:1914895
HGNC:18073	ARMCX1	Armadillo repeat containing	MGI:1925498
HGNC:16869	ARMCX2	Armadillo repeat containing	MGI:1914666
HGNC:24065	ARMCX3	Armadillo repeat containing	MGI:1918953
HGNC:41038	ARMCX3-AS1	Antisense RNAs	
HGNC:28615	ARMCX4	Armadillo repeat containing	MGI:2147887
HGNC:25772	ARMCX5	Armadillo repeat containing	MGI:2148026
HGNC:42000	ARMCX5-GPRASP2		
HGNC:26094	ARMCX6	Armadillo repeat containing	MGI:2147993
HGNC:49917	ARMCX7P		MGI:3648067
HGNC:34345	ARMH1	Armadillo like helical domain containing	MGI:2686507
HGNC:49394	ARMH2	Armadillo like helical domain containing	MGI:1916676
HGNC:25788	ARMH3	Armadillo like helical domain containing	MGI:1918867
HGNC:19846	ARMH4	Armadillo like helical domain containing	MGI:1914669
HGNC:32685	ARMS2		
HGNC:17872	ARMT1		MGI:1920669
HGNC:54484	ARNILA	Long non-coding RNAs with non-systematic symbols	
HGNC:700	ARNT	Basic helix-loop-helix proteins	MGI:88071
HGNC:16876	ARNT2	Basic helix-loop-helix proteins|MicroRNA protein coding host genes	MGI:107188
HGNC:701	ARNTL	Basic helix-loop-helix proteins	MGI:1096381
HGNC:18984	ARNTL2	Basic helix-loop-helix proteins	MGI:2684845
HGNC:49892	ARNTL2-AS1	Antisense RNAs	
HGNC:703	ARPC1A	Actin related protein 2/3 complex subunits|WD repeat domain containing	MGI:1928896
HGNC:704	ARPC1B	WD repeat domain containing|Actin related protein 2/3 complex subunits	MGI:1343142
HGNC:54638	ARPC1BP1		
HGNC:705	ARPC2	Actin related protein 2/3 complex subunits	MGI:1923959
HGNC:706	ARPC3	Actin related protein 2/3 complex subunits	MGI:1928375
HGNC:16092	ARPC3P1		
HGNC:39431	ARPC3P2		
HGNC:39432	ARPC3P3		
HGNC:39434	ARPC3P4		
HGNC:39435	ARPC3P5		
HGNC:707	ARPC4	Actin related protein 2/3 complex subunits	MGI:1915339
HGNC:38830	ARPC4-TTLL3		
HGNC:708	ARPC5	Actin related protein 2/3 complex subunits	MGI:1915021
HGNC:23366	ARPC5L	Actin related protein 2/3 complex subunits	MGI:1921442
HGNC:28782	ARPIN		MGI:1917670
HGNC:38824	ARPIN-AP3S2		
HGNC:16967	ARPP19		MGI:1891691
HGNC:54698	ARPP19P1		
HGNC:54699	ARPP19P2		
HGNC:16968	ARPP21	MicroRNA protein coding host genes	MGI:107562
HGNC:40785	ARPP21-AS1	Antisense RNAs	
HGNC:710	ARR3	Classical arrestins	MGI:2159617
HGNC:711	ARRB1	Classical arrestins|MicroRNA protein coding host genes	MGI:99473
HGNC:712	ARRB2	Classical arrestins	MGI:99474
HGNC:28633	ARRDC1	Alpha arrestins	MGI:2446136
HGNC:23395	ARRDC1-AS1	Antisense RNAs	
HGNC:25225	ARRDC2	Alpha arrestins	MGI:1918057
HGNC:29263	ARRDC3	Alpha arrestins	MGI:2145242
HGNC:44145	ARRDC3-AS1	Antisense RNAs	
HGNC:28087	ARRDC4	Alpha arrestins	MGI:1913662
HGNC:31407	ARRDC5	Alpha arrestins	MGI:1924170
HGNC:713	ARSA	Sulfatases	MGI:88077
HGNC:714	ARSB	Sulfatases	MGI:88075
HGNC:716	ARSC2	Sulfatases	
HGNC:717	ARSD	Sulfatases	
HGNC:40085	ARSD-AS1	Antisense RNAs	
HGNC:718	ARSDP1		
HGNC:721	ARSF	Sulfatases	
HGNC:722	ARSFP1		
HGNC:24102	ARSG	Sulfatases	MGI:1921258
HGNC:32488	ARSH	Sulfatases	
HGNC:32521	ARSI	Sulfatases	MGI:2670959
HGNC:26286	ARSJ	Sulfatases	MGI:2443513
HGNC:25239	ARSK	Sulfatases	MGI:1924291
HGNC:719	ARSL	Sulfatases	
HGNC:720	ARSLP1		
HGNC:723	ART1	CD molecules	MGI:107511
HGNC:51489	ART2BP		MGI:107545
HGNC:724	ART2P		
HGNC:725	ART3		MGI:1202729
HGNC:726	ART4	CD molecules|Blood group antigens	MGI:1202710
HGNC:24049	ART5		MGI:107948
HGNC:727	ARTN	GDNF family ligands	MGI:1333791
HGNC:29561	ARV1		MGI:1916115
HGNC:728	ARVCF	Armadillo repeat containing|p120 catenin family|Armadillo like helical domain containing	MGI:109620
HGNC:18060	ARX	PRD class homeoboxes and pseudogenes	MGI:1097716
HGNC:17452	AS3MT	Seven-beta-strand methyltransferase motif containing	MGI:1929882
HGNC:735	ASAH1		MGI:1277124
HGNC:18860	ASAH2		MGI:1859310
HGNC:23456	ASAH2B		
HGNC:2720	ASAP1	Ankyrin repeat domain containing|BAR-PH domain containing|ArfGAPs	MGI:1342335
HGNC:24998	ASAP1-IT1	Intronic transcripts	
HGNC:48917	ASAP1-IT2	Intronic transcripts	
HGNC:2721	ASAP2	ArfGAPs|BAR-PH domain containing|Ankyrin repeat domain containing	MGI:2685438
HGNC:14987	ASAP3	Ankyrin repeat domain containing|ArfGAPs|BAR-PH domain containing	MGI:2684986
HGNC:16011	ASB1	Ankyrin repeat domain containing	MGI:1929735
HGNC:16012	ASB2	Ankyrin repeat domain containing|MicroRNA protein coding host genes	MGI:1929743
HGNC:16013	ASB3	Ankyrin repeat domain containing	MGI:1929749
HGNC:16009	ASB4	Ankyrin repeat domain containing	MGI:1929751
HGNC:17180	ASB5	Ankyrin repeat domain containing	MGI:1923544
HGNC:17181	ASB6	Ankyrin repeat domain containing	MGI:1919573
HGNC:17182	ASB7	Ankyrin repeat domain containing	MGI:2152835
HGNC:17183	ASB8	Ankyrin repeat domain containing	MGI:1925791
HGNC:17184	ASB9	Ankyrin repeat domain containing	MGI:1916549
HGNC:20972	ASB9P1		
HGNC:17185	ASB10	Ankyrin repeat domain containing	MGI:2152836
HGNC:17186	ASB11	Ankyrin repeat domain containing	MGI:1916104
HGNC:19763	ASB12	Ankyrin repeat domain containing	MGI:1917642
HGNC:19765	ASB13	Ankyrin repeat domain containing	MGI:2145525
HGNC:19766	ASB14	Ankyrin repeat domain containing	MGI:2655107
HGNC:19767	ASB15	Ankyrin repeat domain containing	MGI:1926160
HGNC:40904	ASB15-AS1	Antisense RNAs	
HGNC:19768	ASB16	Ankyrin repeat domain containing	MGI:2654437
HGNC:25442	ASB16-AS1	Antisense RNAs	
HGNC:19769	ASB17	Ankyrin repeat domain containing	MGI:1914022
HGNC:19770	ASB18	Ankyrin repeat domain containing	MGI:2655109
HGNC:24268	ASCC1	Activating signal cointegrator 1 complex	MGI:1916340
HGNC:24103	ASCC2	Activating signal cointegrator 1 complex	MGI:1922702
HGNC:18697	ASCC3	RNA helicases|DNA helicases|Activating signal cointegrator 1 complex	MGI:1925237
HGNC:738	ASCL1	Basic helix-loop-helix proteins	MGI:96919
HGNC:739	ASCL2	Basic helix-loop-helix proteins	MGI:96920
HGNC:740	ASCL3	Basic helix-loop-helix proteins	MGI:1928820
HGNC:24311	ASCL4	Basic helix-loop-helix proteins	MGI:1914591
HGNC:33169	ASCL5	Basic helix-loop-helix proteins	MGI:2685043
HGNC:53619	ASDURF		
HGNC:20995	ASF1A		MGI:1913653
HGNC:20996	ASF1B		MGI:1914179
HGNC:742	ASGR1	C-type lectin domain containing	MGI:88081
HGNC:743	ASGR2	C-type lectin domain containing	MGI:88082
HGNC:19088	ASH1L	MicroRNA protein coding host genes|Bromodomain containing|Lysine methyltransferases|PHD finger proteins|SET domain containing	MGI:2183158
HGNC:44146	ASH1L-AS1	Antisense RNAs	
HGNC:41449	ASH1L-IT1	Intronic transcripts	
HGNC:744	ASH2L	WRAD complex|PHD finger proteins	MGI:1344416
HGNC:19332	ASH2LP1		
HGNC:53059	ASH2LP2		
HGNC:53060	ASH2LP3		
HGNC:100	ASIC1	Acid sensing ion channel subunits	MGI:1194915
HGNC:99	ASIC2	Acid sensing ion channel subunits	MGI:1100867
HGNC:101	ASIC3	Acid sensing ion channel subunits	MGI:2159339
HGNC:21263	ASIC4	Acid sensing ion channel subunits	MGI:2652846
HGNC:40960	ASIC4-AS1	Antisense RNAs	
HGNC:17537	ASIC5	Acid sensing ion channel subunits	MGI:1929259
HGNC:745	ASIP		MGI:87853
HGNC:746	ASL		MGI:88084
HGNC:747	ASLP1		
HGNC:750	ASMT	Seven-beta-strand methyltransferase motif containing|Pseudoautosomal region 1	MGI:96090
HGNC:751	ASMTL	Pseudoautosomal region 1|Seven-beta-strand methyltransferase motif containing	
HGNC:25811	ASMTL-AS1	Antisense RNAs|Pseudoautosomal region 1	
HGNC:753	ASNS		MGI:1350929
HGNC:24910	ASNSD1		MGI:1917646
HGNC:754	ASNSP1		
HGNC:755	ASNSP2		
HGNC:39399	ASNSP3		
HGNC:39400	ASNSP4		
HGNC:39401	ASNSP5		
HGNC:49876	ASNSP6		
HGNC:756	ASPA		MGI:87914
HGNC:33856	ASPDH		MGI:1915602
HGNC:20123	ASPG	Ankyrin repeat domain containing	MGI:2144822
HGNC:757	ASPH		MGI:1914186
HGNC:27380	ASPHD1		MGI:2685014
HGNC:30437	ASPHD2		MGI:1920148
HGNC:19048	ASPM		MGI:1334448
HGNC:14872	ASPN	Small leucine rich repeat proteoglycans	MGI:1913945
HGNC:26321	ASPRV1	Gag like LTR retrotransposon derived genes	MGI:1915105
HGNC:13825	ASPSCR1	UBX domain containing	MGI:1916188
HGNC:16448	ASRGL1		MGI:1913764
HGNC:758	ASS1		MGI:88090
HGNC:759	ASS1P1		
HGNC:765	ASS1P2		
HGNC:766	ASS1P3		
HGNC:767	ASS1P4		
HGNC:768	ASS1P5		
HGNC:769	ASS1P6		
HGNC:770	ASS1P7		
HGNC:771	ASS1P8		
HGNC:772	ASS1P9		
HGNC:760	ASS1P10		
HGNC:761	ASS1P11		
HGNC:762	ASS1P12		
HGNC:763	ASS1P13		
HGNC:764	ASS1P14		
HGNC:25021	ASTE1		MGI:1913845
HGNC:31704	ASTL	Astacins	MGI:3046414
HGNC:773	ASTN1	Fibronectin type III domain containing|MicroRNA protein coding host genes	MGI:1098567
HGNC:17021	ASTN2	Fibronectin type III domain containing|Small nucleolar RNA protein coding host genes	MGI:1889277
HGNC:51175	ASTN2-AS1	Antisense RNAs	
HGNC:18318	ASXL1		MGI:2684063
HGNC:23805	ASXL2		MGI:1922552
HGNC:29357	ASXL3		MGI:2685175
HGNC:1350	ASZ1	Sterile alpha motif domain containing|Ankyrin repeat domain containing	MGI:1921318
HGNC:25903	ATAD1	AAA ATPases	MGI:1915229
HGNC:30123	ATAD2	AAA ATPases|MicroRNA protein coding host genes|Bromodomain containing	MGI:1917722
HGNC:29230	ATAD2B	Bromodomain containing|AAA ATPases	MGI:2444798
HGNC:25567	ATAD3A	AAA ATPases	MGI:1919214
HGNC:24007	ATAD3B	AAA ATPases	MGI:1919214
HGNC:32151	ATAD3C	AAA ATPases	MGI:1919214
HGNC:25752	ATAD5	AAA ATPases	MGI:2442925
HGNC:21186	ATAT1	Lysine acetyltransferases	MGI:1913869
HGNC:779	ATCAY	BCH domain containing 	MGI:2448730
HGNC:782	ATE1		MGI:1333870
HGNC:49496	ATE1-AS1	Antisense RNAs	
HGNC:783	ATF1	Basic leucine zipper proteins	MGI:1298366
HGNC:37691	ATF1P1		
HGNC:784	ATF2	Basic leucine zipper proteins|MicroRNA protein coding host genes	MGI:109349
HGNC:785	ATF3	Basic leucine zipper proteins	MGI:109384
HGNC:786	ATF4	Basic leucine zipper proteins	MGI:88096
HGNC:789	ATF4P1		
HGNC:34025	ATF4P2		
HGNC:788	ATF4P3		
HGNC:787	ATF4P4		
HGNC:790	ATF5	Basic leucine zipper proteins|MicroRNA protein coding host genes	MGI:2141857
HGNC:791	ATF6	Basic leucine zipper proteins	MGI:1926157
HGNC:2349	ATF6B	Basic leucine zipper proteins	MGI:105121
HGNC:792	ATF7	Basic leucine zipper proteins	MGI:2443472
HGNC:20092	ATF7IP	Fibronectin type III domain containing	MGI:1858965
HGNC:20397	ATF7IP2	Fibronectin type III domain containing	MGI:1922579
HGNC:29028	ATG2A	Autophagy related|MicroRNA protein coding host genes	MGI:1916291
HGNC:20187	ATG2B	Autophagy related	MGI:1923809
HGNC:20962	ATG3	Autophagy related	MGI:1915091
HGNC:31123	ATG3P1		
HGNC:16489	ATG4A	Autophagy related	MGI:2147903
HGNC:44081	ATG4AP1		
HGNC:20790	ATG4B	Autophagy related	MGI:1913865
HGNC:16040	ATG4C	Autophagy related	MGI:2651854
HGNC:20789	ATG4D	MicroRNA protein coding host genes|Autophagy related	MGI:2444308
HGNC:589	ATG5	Autophagy related	MGI:1277186
HGNC:16935	ATG7	Ubiquitin like modifier activating enzymes|Autophagy related	MGI:1921494
HGNC:22408	ATG9A	Autophagy related	MGI:2138446
HGNC:21899	ATG9B	Autophagy related	MGI:2685420
HGNC:20315	ATG10	Autophagy related	MGI:1914045
HGNC:40914	ATG10-AS1	Antisense RNAs	
HGNC:41455	ATG10-IT1	Intronic transcripts	
HGNC:588	ATG12	Autophagy related	MGI:1914776
HGNC:21466	ATG12P1		
HGNC:38605	ATG12P2		
HGNC:29091	ATG13	Autophagy related	MGI:1196429
HGNC:19962	ATG14	PIK3C3 complex subunits|Autophagy related	MGI:1261775
HGNC:21498	ATG16L1	WD repeat domain containing|Autophagy related	MGI:1924290
HGNC:25464	ATG16L2	Autophagy related|WD repeat domain containing	MGI:1920933
HGNC:25679	ATG101	Autophagy related	MGI:1915368
HGNC:794	ATIC	Purinosome	MGI:1351352
HGNC:11231	ATL1	Atlastins	MGI:1921241
HGNC:24047	ATL2	Atlastins	MGI:1929492
HGNC:24526	ATL3	Atlastins	MGI:1924270
HGNC:795	ATM	Armadillo like helical domain containing	MGI:107202
HGNC:29034	ATMIN	Zinc fingers C2H2-type	MGI:2682328
HGNC:3033	ATN1	Atrophins	MGI:104725
HGNC:797	ATOH1	Basic helix-loop-helix proteins	MGI:104654
HGNC:13907	ATOH7	Basic helix-loop-helix proteins	MGI:1355553
HGNC:24126	ATOH8	Basic helix-loop-helix proteins	MGI:1918343
HGNC:798	ATOX1		MGI:1333855
HGNC:799	ATP1A1	ATPase Na+/K+ transporting subunits	MGI:88105
HGNC:28262	ATP1A1-AS1	Antisense RNAs	
HGNC:800	ATP1A2	ATPase Na+/K+ transporting subunits	MGI:88106
HGNC:801	ATP1A3	ATPase Na+/K+ transporting subunits	MGI:88107
HGNC:14073	ATP1A4	ATPase Na+/K+ transporting subunits	MGI:1351335
HGNC:804	ATP1B1	ATPase Na+/K+ transporting subunits	MGI:88108
HGNC:809	ATP1B1P1		
HGNC:805	ATP1B2	ATPase Na+/K+ transporting subunits	MGI:88109
HGNC:806	ATP1B3	ATPase Na+/K+ transporting subunits|CD molecules	MGI:107788
HGNC:40088	ATP1B3-AS1	Antisense RNAs	
HGNC:807	ATP1B3P1		
HGNC:808	ATP1B4		MGI:1915071
HGNC:811	ATP2A1	ATPases Ca2+ transporting	MGI:105058
HGNC:51370	ATP2A1-AS1	Antisense RNAs	
HGNC:812	ATP2A2	ATPases Ca2+ transporting	MGI:88110
HGNC:813	ATP2A3	ATPases Ca2+ transporting	MGI:1194503
HGNC:814	ATP2B1	ATPases Ca2+ transporting	MGI:104653
HGNC:27883	ATP2B1-AS1	Antisense RNAs	
HGNC:815	ATP2B2	ATPases Ca2+ transporting|MicroRNA protein coding host genes	MGI:105368
HGNC:41309	ATP2B2-IT1	Intronic transcripts	
HGNC:41310	ATP2B2-IT2	Intronic transcripts	
HGNC:816	ATP2B3	ATPases Ca2+ transporting|Cilia and flagella associated	MGI:1347353
HGNC:817	ATP2B4	ATPases Ca2+ transporting|Small nucleolar RNA protein coding host genes	MGI:88111
HGNC:13211	ATP2C1	ATPases Ca2+ transporting	MGI:1889008
HGNC:29103	ATP2C2	ATPases Ca2+ transporting	MGI:1916297
HGNC:53167	ATP2C2-AS1	Antisense RNAs	
HGNC:819	ATP4A	ATPase H+/K+ transporting	MGI:88113
HGNC:820	ATP4B	ATPase H+/K+ transporting	MGI:88114
HGNC:823	ATP5F1A	Mitochondrial complex V: ATP synthase subunits	MGI:88115
HGNC:827	ATP5F1AP1		
HGNC:828	ATP5F1AP2		
HGNC:829	ATP5F1AP3		
HGNC:23563	ATP5F1AP4		
HGNC:37665	ATP5F1AP7		
HGNC:37666	ATP5F1AP8		
HGNC:37668	ATP5F1AP10		
HGNC:830	ATP5F1B	Mitochondrial complex V: ATP synthase subunits|Small nucleolar RNA protein coding host genes	MGI:107801
HGNC:831	ATP5F1BP1		
HGNC:833	ATP5F1C	Mitochondrial complex V: ATP synthase subunits	MGI:1261437
HGNC:834	ATP5F1CP1		
HGNC:837	ATP5F1D	Mitochondrial complex V: ATP synthase subunits	MGI:1913293
HGNC:838	ATP5F1E	Mitochondrial complex V: ATP synthase subunits	MGI:1855697
HGNC:839	ATP5F1EP1		
HGNC:34026	ATP5F1EP2		
HGNC:871	ATP5IF1	Mitochondrial complex V: ATP synthase subunits	MGI:1196457
HGNC:841	ATP5MC1	Mitochondrial complex V: ATP synthase subunits	MGI:107653
HGNC:19815	ATP5MC1P1		
HGNC:19817	ATP5MC1P2		
HGNC:39506	ATP5MC1P3		
HGNC:39507	ATP5MC1P4		
HGNC:39508	ATP5MC1P5		
HGNC:39509	ATP5MC1P6		
HGNC:39510	ATP5MC1P7		
HGNC:39511	ATP5MC1P8		
HGNC:842	ATP5MC2	Mitochondrial complex V: ATP synthase subunits	MGI:1915192
HGNC:844	ATP5MC2P1		
HGNC:19672	ATP5MC2P2		
HGNC:42187	ATP5MC2P3		
HGNC:42188	ATP5MC2P4		
HGNC:843	ATP5MC3	Mitochondrial complex V: ATP synthase subunits	MGI:2442035
HGNC:30889	ATP5MD	Mitochondrial complex V: ATP synthase subunits|MicroRNA protein coding host genes	MGI:1891435
HGNC:31716	ATP5MDP1		
HGNC:846	ATP5ME	Mitochondrial complex V: ATP synthase subunits	MGI:106636
HGNC:848	ATP5MF	Mitochondrial complex V: ATP synthase subunits	MGI:1927558
HGNC:38844	ATP5MF-PTCD1		
HGNC:849	ATP5MFP1		
HGNC:21540	ATP5MFP2		
HGNC:21286	ATP5MFP3		
HGNC:32451	ATP5MFP4		
HGNC:33611	ATP5MFP5		
HGNC:33612	ATP5MFP6		
HGNC:14247	ATP5MG	Mitochondrial complex V: ATP synthase subunits	MGI:1351597
HGNC:13213	ATP5MGL		
HGNC:13214	ATP5MGP1		
HGNC:13215	ATP5MGP2		
HGNC:13216	ATP5MGP3		
HGNC:38165	ATP5MGP4		
HGNC:38167	ATP5MGP5		
HGNC:38168	ATP5MGP6		
HGNC:38169	ATP5MGP7		
HGNC:38170	ATP5MGP8		
HGNC:1188	ATP5MPL	Mitochondrial complex V: ATP synthase subunits	MGI:1917507
HGNC:840	ATP5PB	Mitochondrial complex V: ATP synthase subunits	MGI:1100495
HGNC:39742	ATP5PBP1		
HGNC:39743	ATP5PBP2		
HGNC:39744	ATP5PBP3		
HGNC:39745	ATP5PBP4		
HGNC:39746	ATP5PBP5		
HGNC:39747	ATP5PBP6		
HGNC:39748	ATP5PBP7		
HGNC:845	ATP5PD	Mitochondrial complex V: ATP synthase subunits	MGI:1918929
HGNC:31021	ATP5PDP1		
HGNC:49624	ATP5PDP2		
HGNC:49625	ATP5PDP3		
HGNC:49626	ATP5PDP4		
HGNC:847	ATP5PF	Mitochondrial complex V: ATP synthase subunits	MGI:107777
HGNC:23933	ATP5PFP1		
HGNC:850	ATP5PO	Mitochondrial complex V: ATP synthase subunits	MGI:106341
HGNC:54673	ATP5POP1		
HGNC:868	ATP6AP1		MGI:109629
HGNC:28091	ATP6AP1L		MGI:3648665
HGNC:18305	ATP6AP2		MGI:1917745
HGNC:851	ATP6V1A	V-type ATPases	MGI:1201780
HGNC:853	ATP6V1B1	V-type ATPases	MGI:103285
HGNC:51118	ATP6V1B1-AS1	Antisense RNAs	
HGNC:854	ATP6V1B2	V-type ATPases	MGI:109618
HGNC:856	ATP6V1C1	V-type ATPases	MGI:1913585
HGNC:18264	ATP6V1C2	V-type ATPases	MGI:1916025
HGNC:13527	ATP6V1D	V-type ATPases	MGI:1921084
HGNC:857	ATP6V1E1	V-type ATPases	MGI:894326
HGNC:859	ATP6V1E1P1		
HGNC:860	ATP6V1E1P2		
HGNC:858	ATP6V1E1P3		
HGNC:18125	ATP6V1E2	V-type ATPases	MGI:1922165
HGNC:16832	ATP6V1F	V-type ATPases	MGI:1913394
HGNC:52392	ATP6V1FNB		MGI:3644212
HGNC:864	ATP6V1G1	V-type ATPases	MGI:1913540
HGNC:19816	ATP6V1G1P1		
HGNC:29359	ATP6V1G1P2		
HGNC:37670	ATP6V1G1P3		
HGNC:37671	ATP6V1G1P4		
HGNC:37672	ATP6V1G1P5		
HGNC:37673	ATP6V1G1P6		
HGNC:39852	ATP6V1G1P7		
HGNC:862	ATP6V1G2	V-type ATPases	MGI:1913487
HGNC:41999	ATP6V1G2-DDX39B		
HGNC:18265	ATP6V1G3	V-type ATPases	MGI:2450548
HGNC:18303	ATP6V1H	V-type ATPases|Armadillo like helical domain containing	MGI:1914864
HGNC:865	ATP6V0A1	V-type ATPases|MicroRNA protein coding host genes	MGI:103286
HGNC:18481	ATP6V0A2	V-type ATPases	MGI:104855
HGNC:866	ATP6V0A4	V-type ATPases	MGI:2153480
HGNC:861	ATP6V0B	V-type ATPases	MGI:1890510
HGNC:855	ATP6V0C	V-type ATPases	MGI:88116
HGNC:31323	ATP6V0CP1		
HGNC:40000	ATP6V0CP2		
HGNC:40001	ATP6V0CP3		
HGNC:40002	ATP6V0CP4		
HGNC:13724	ATP6V0D1	V-type ATPases	MGI:1201778
HGNC:18266	ATP6V0D2	V-type ATPases	MGI:1924415
HGNC:863	ATP6V0E1	V-type ATPases|Small nucleolar RNA protein coding host genes	MGI:1328318
HGNC:41935	ATP6V0E1P1		
HGNC:41936	ATP6V0E1P2		
HGNC:41937	ATP6V0E1P3		
HGNC:41938	ATP6V0E1P4		
HGNC:21723	ATP6V0E2	V-type ATPases	MGI:1923502
HGNC:44180	ATP6V0E2-AS1	Antisense RNAs	
HGNC:869	ATP7A	ATPase copper transporting	MGI:99400
HGNC:870	ATP7B	ATPase copper transporting	MGI:103297
HGNC:31014	ATP7BP1		
HGNC:13531	ATP8A1	ATPase phospholipid transporting	MGI:1330848
HGNC:13533	ATP8A2	ATPase phospholipid transporting	MGI:1354710
HGNC:39662	ATP8A2P1		
HGNC:39663	ATP8A2P2		
HGNC:42641	ATP8A2P3		
HGNC:3706	ATP8B1	ATPase phospholipid transporting	MGI:1859665
HGNC:13534	ATP8B2	ATPase phospholipid transporting	MGI:1859660
HGNC:13535	ATP8B3	ATPase phospholipid transporting	MGI:1914581
HGNC:13536	ATP8B4	ATPase phospholipid transporting	MGI:1859664
HGNC:27245	ATP8B5P	ATPase phospholipid transporting	MGI:2444287
HGNC:13540	ATP9A	ATPase phospholipid transporting	MGI:1330826
HGNC:13541	ATP9B	ATPase phospholipid transporting	MGI:1354757
HGNC:13542	ATP10A	ATPase phospholipid transporting|MicroRNA protein coding host genes	MGI:1330809
HGNC:13543	ATP10B	ATPase phospholipid transporting	MGI:2442688
HGNC:13549	ATP10D	ATPase phospholipid transporting	MGI:2450125
HGNC:13552	ATP11A	ATPase phospholipid transporting	MGI:1354735
HGNC:40645	ATP11A-AS1	Antisense RNAs	
HGNC:33793	ATP11AUN		
HGNC:13553	ATP11B	ATPase phospholipid transporting	MGI:1923545
HGNC:13554	ATP11C	ATPase phospholipid transporting|MicroRNA protein coding host genes	MGI:1859661
HGNC:13816	ATP12A	ATPase H+/K+ transporting	MGI:1926943
HGNC:24215	ATP13A1	ATPase orphan transporters	MGI:2180801
HGNC:30213	ATP13A2	ATPase orphan transporters	MGI:1922022
HGNC:24113	ATP13A3	ATPase orphan transporters	MGI:2685387
HGNC:25422	ATP13A4	ATPase orphan transporters	MGI:1924456
HGNC:41095	ATP13A4-AS1	Antisense RNAs	
HGNC:31789	ATP13A5	ATPase orphan transporters	MGI:2444068
HGNC:41281	ATP13A5-AS1	Antisense RNAs	
HGNC:29452	ATP23		MGI:1916984
HGNC:18803	ATPAF1	Mitochondrial respiratory chain complex assembly factors	MGI:2180560
HGNC:18802	ATPAF2	Mitochondrial respiratory chain complex assembly factors	MGI:2180561
HGNC:27029	ATPSCKMT	Seven-beta-strand methyltransferase motif containing	MGI:1915323
