pair_ID	p1	p2	nb_score	nb_std	merged_pairnames	classification_zscore095	Index
R_91	fxr2	x2700060e02rik	3.414556082	0.06226461	fxr2_x2700060e02rik	positive	335
R_197	serbp1	sfpq	1.448660697	1.10775303	serbp1_sfpq	negative	336
R_158	nip7	qki	3.362902098	2.041826176	nip7_qki	positive	337
R_98	hook1	ccdc9	3.35468289	0.529248073	hook1_ccdc9	positive	338
R_200	fxr1	sfpq	1.084929046	0.77459014	fxr1_sfpq	negative	339
R_237	fez2	kif3b	3.286725437	1.650802072	fez2_kif3b	positive	340
R_147	cstf2t	nip7	3.243380152	0.206747305	cstf2t_nip7	positive	341
R_205	fez2	x2700060e02rik	1.865341188	0.926760199	fez2_x2700060e02rik	negative	342
J104_15	kifap3	pard6g	3.231011445	0.565235613	kifap3_pard6g	positive	343
R_78	usp10	exosc7	3.221864671	0.407632406	usp10_exosc7	positive	344
R_209	thoc1	klc4	0.778156467	0.147523376	thoc1_klc4	negative	345
R_296	bicd2	x2700060e02rik	3.221335348	0.46070098	bicd2_x2700060e02rik	positive	346
R_221	eif4a3	ccdc9	3.22027695	3.175104591	eif4a3_ccdc9	positive	347
R_114	purb	nxf1	3.17355785	1.173752248	purb_nxf1	positive	348
J104_40	p53	larget	3.163997194	0.201119676	p53_larget	positive	349
R_193	sbds	stau2	3.131199892	0.96203699	sbds_stau2	positive	350
R_273	fmr1	kif3b	3.095548249	0.326957422	fmr1_kif3b	positive	351
R_45	mreg	nufip2	3.088500358	0.062371962	mreg_nufip2	positive	352
J115_14	kif17v1	nxf2	3.058092544	0.42875577	kif17v1_nxf2	positive	353
R_116	tsnax	x2700060e02rik	2.972984458	0.074791482	tsnax_x2700060e02rik	positive	354
R_223	kif1c_cter	eif4a3	2.124061785	1.448034576	kif1c_cter_eif4a3	negative	355
J104_09	bicd2	tsnax	2.959979772	0.227042631	bicd2_tsnax	positive	356
R_225	eif3g	nxf1	1.654741315	0.090347021	eif3g_nxf1	negative	357
R_67	lsm5	trnau1ap	2.954410319	0.470912568	lsm5_trnau1ap	positive	358
R_229	eif3g	dynlt1c	2.195744537	0.518560379	eif3g_dynlt1c	negative	359
R_231	eif4b	pura	1.333446729	0.816301105	eif4b_pura	negative	360
R_233	eif4a3	tsnax	2.052181568	2.164736421	eif4a3_tsnax	negative	361
J104_05	akap8	mapre3	2.910912278	0.377730725	akap8_mapre3	positive	362
R_207	fez2	tsnax	2.877056452	0.375241293	fez2_tsnax	positive	363
R_241	clasp2	rps8	1.296496559	1.262240703	clasp2_rps8	negative	364
R_305	lam	larget	2.8518655	0.10343455	lam_larget	positive	365
R_101	apc_nter	nufip2	2.842615693	0.400469769	apc_nter_nufip2	positive	366
R_295	x2700060e02rik	bicd2	2.819723855	0.64372291	x2700060e02rik_bicd2	positive	367
R_189	hnrnpc	sbds	2.81136799	0.830069065	hnrnpc_sbds	positive	368
#J104_24	pard6g_aa117_aa156	mapt	2.744669558	0.451380541	pard6g_aa117_aa156_mapt	positive	369
R_208	tsnax	fez2	2.726419296	0.280762492	tsnax_fez2	positive	370
R_65	rpl34	aspm	2.722090691	0.624526166	rpl34_aspm	positive	371
R_303	lam	larget	1.432722389	0.313998497	lam_larget	negative	372
R_51	nxf1	rbpms	2.716539141	0.134671438	nxf1_rbpms	positive	373
J103_38	nat10	kif5a	2.690119174	2.917434255	nat10_kif5a	positive	374
R_113	nxf1	purb	2.658276879	0.163518123	nxf1_purb	positive	375
J104_14	kifap3	prpf31	2.633886959	0.24295664	kifap3_prpf31	positive	376
J103_31	kif3b	rsl1d1	2.580689532	0.140711461	kif3b_rsl1d1	positive	377
R_264	rps5	mkrn1	2.003854681	0.419227494	rps5_mkrn1	negative	378
J115_4	dynlt1c	nxf1	2.567083262	0.490931192	dynlt1c_nxf1	positive	379
R_266	rps18	mkrn1	1.425611436	0.599334105	rps18_mkrn1	negative	380
R_100	tsnax	nxf1	2.54331334	0.478452782	tsnax_nxf1	positive	381
R_268	rps4x	mkrn1	1.428406936	0.137334896	rps4x_mkrn1	negative	382
R_206	x2700060e02rik	fez2	2.530015738	1.594015243	x2700060e02rik_fez2	positive	383
R_37	exosc8	rbm22	2.526072551	0.329951987	exosc8_rbm22	positive	384
R_271	fmr1	kif3a	1.567127427	0.372571125	fmr1_kif3a	negative	385
R_272	kif3a	fmr1	0.826885262	0.112805715	kif3a_fmr1	negative	386
R_234	tsnax	eif4a3	2.47373526	0.18347983	tsnax_eif4a3	positive	387
J103_37	fxr2	kif1b_nter	2.461828642	0.054721093	fxr2_kif1b_nter	positive	388
R_60	prpf31	cpsf7	2.460299979	0.244670013	prpf31_cpsf7	positive	389
#R_309	dic2	klc2	2.45358052	0.135989139	dic2_klc2	positive	390
R_277	fmr1	klc2	0.777072314	0.485679066	fmr1_klc2	negative	391
R_278	klc2	fmr1	1.289050799	0.476077732	klc2_fmr1	negative	392
R_279	fmr1	kif1bx4_cter	0.684271438	0.197517717	fmr1_kif1bx4_cter	negative	393
R_280	kif1bx4_cter	fmr1	1.022928667	0.212726666	kif1bx4_cter_fmr1	negative	394
R_281	kif5a	fmr1	0.411067567	0.237466319	kif5a_fmr1	negative	395
R_282	fmr1	kif5a	0.717059449	0.241094477	fmr1_kif5a	negative	396
R_287	fxr2	klc4	0.730341768	0.499748947	fxr2_klc4	negative	397
R_288	klc4	fxr2	2.151611815	0.16424466	klc4_fxr2	negative	398
R_179	eftud2	rbm22	0.952754762	0.24819239	eftud2_rbm22	negative	399
R_180	fam120a	gtf2f1	0.23889972	0.205151783	fam120a_gtf2f1	negative	400
R_181	nsun2	srsf9	0.252011503	0.142779427	nsun2_srsf9	negative	401
R_182	nip7	safb2	0.555928169	0.105961468	nip7_safb2	negative	402
R_183	fubp3	sbds	0.967311092	0.1825374	fubp3_sbds	negative	403
R_184	safb2	sbds	1.283056637	0.818274375	safb2_sbds	negative	404
R_139	fxr2	sf3b4	2.445039836	0.539503743	fxr2_sf3b4	positive	405
R_74	prpf6	d2wsu81e	2.39821692	0.141759587	prpf6_d2wsu81e	positive	406
R_297	nufip2	kif3a	0.800933794	0.219316461	nufip2_kif3a	negative	407
R_298	kif3a	nufip2	1.315386478	0.191525881	kif3a_nufip2	negative	408
#R_307	kifap3	dctn1	2.084319319	0.58855271	kifap3_dctn1	negative	409
R_317	bicd2	klc4	2.383373558	0.126178591	bicd2_klc4	positive	410
#J103_01	csrp1	kif7	2.370790699	0.624556016	csrp1_kif7	positive	411
R_274	kif3b	fmr1	2.344670783	0.462319645	kif3b_fmr1	positive	412
R_246	klc1	tsnax	2.34319717	0.254579692	klc1_tsnax	positive	413
R_199	sbds	sugp2	2.306515102	0.277582725	sbds_sugp2	positive	414
#R_316	kif5a	dic1a	2.163504811	0.343061206	kif5a_dic1a	negative	415
J104_39	mapre3	fxr2	2.278678227	0.499497542	mapre3_fxr2	positive	416
R_306	p53	larget	1.44357936	0.824234069	p53_larget	negative	417
J104_38	larget	lam	2.273040695	0.104071434	larget_lam	positive	418
R_140	pcbp1	rps3	2.246162064	0.357552276	pcbp1_rps3	positive	419
J104_10	apc_cter	rps15	2.24460758	0.224729345	apc_cter_rps15	positive	420
